id;item;response;rater1;rater2;rater3;rater4;raterm
2001;box;hat;1;1;1;1;1
2001;box;sound amplifier;3;3;2;3;2,75
2001;box;flowerbed liner;2;3;2;3;2,5
2001;box;peg board for painting hardware;1;4;3;3;2,75
2001;box;pain canvas;1;1;2;2;1,5
2001;box;cat carrier;1;1;1;1;1
2002;box;gift;1;1;1;1;1
2002;box;desk;1;1;1;2;1,25
2002;box;mailbox;2;1;1;2;1,5
2002;box;cage;1;1;1;1;1
2002;box;container;1;1;1;1;1
2002;box;pet;1;1;2;1;1,25
2002;box;house if large enough;1;1;1;1;1
2002;box;tear into strip and intertwine to make;3;4;3;4;3,5
2002;box;fill with dirt to make a brick or weigh;2;1;2;3;2
2002;box;doll;1;1;2;2;1,5
2002;box;sign;1;1;1;2;1,25
2002;box;breakdancing platform;1;2;2;3;2
2002;box;plant holder;2;2;2;2;2
2002;box;firewood;1;2;2;2;1,75
2002;box;puppy holder;1;1;1;1;1
2002;box;soapbox derby car;2;3;1;4;2,5
2002;box;fruit bowl;2;2;2;2;2
2002;box;props in a play;1;2;2;3;2
2002;box;picture frame;2;2;2;3;2,25
2003;box;paper;1;1;1;2;1,25
2003;box;Storage;1;1;1;1;1
2003;box;Fort;1;1;1;1;1
2003;box;Trap;2;1;2;2;1,75
2003;box;House;1;1;1;1;1
2003;box;Car;1;1;1;2;1,25
2003;box;Art;1;1;1;1;1
2003;box;Helmet;1;1;2;2;1,5
2003;box;Lift;1;1;1;1;1
2003;box;Zoo;2;3;2;2;2,25
2003;box;Weapon;1;1;1;1;1
2003;box;Aquarium;3;2;2;3;2,5
2003;box;Armor;1;1;2;2;1,5
2003;box;Sled;1;1;1;1;1
2003;box;Pail;1;1;1;2;1,25
2003;box;Pads;3;2;1;2;2
2003;box;Boat;1;1;1;2;1,25
2003;box;Shovel;1;2;2;3;2
2003;box;Stacking;1;1;1;1;1
2003;box;Shield;1;1;2;2;1,5
2003;box;Water Bottle;2;2;2;2;2
2003;box;Shipping tool;1;1;1;1;1
2004;box;use several of them and make a robot costume;2;1;2;2;1,75
2004;box;get several of them and make a play house;1;1;1;1;1
2004;box;turn it into an astronauts helmet;2;3;2;3;2,5
2004;box;have tiny and turn them into flower pots;2;2;2;2;2
2004;box;poke holes and stick a light in it and use it as a disco;4;4;3;4;3,75
2004;box;use it as a chair;1;1;1;1;1
2005;box;toy;1;1;1;1;1
2005;box;hat;1;1;1;1;1
2005;box;storage;1;1;1;1;1
2005;box;shade;2;2;2;2;2
2005;box;umbrella;1;1;1;2;1,25
2005;box;shield;1;1;2;2;1,5
2005;box;playpen;1;1;1;2;1,25
2006;box;table;1;1;1;1;1
2006;box;shoes;1;1;1;1;1
2006;box;fort;1;1;1;1;1
2006;box;props;1;2;2;3;2
2006;box;stairs;1;1;2;1;1,25
2006;box;armor;1;1;2;2;1,5
2006;box;Raft;2;2;1;2;1,75
2006;box;dumb waiter;1;5;3;3;3
2006;box;umbrella;1;1;1;2;1,25
2006;box;giant dice;3;3;3;3;3
2007;box;hat;1;1;1;1;1
2007;box;home if it is big enough;1;1;1;1;1
2007;box;drawer;2;1;1;2;1,5
2007;box;seat;1;1;1;1;1
2007;box;shelf;2;1;1;2;1,5
2007;box;to block;1;1;1;1;1
2007;box;costume;1;1;1;2;1,25
2007;box;tunnel;2;1;2;2;1,75
2007;box;foot stool;1;1;1;1;1
2007;box;go cart;1;1;1;3;1,5
2007;box;side table;1;1;1;1;1
2007;box;play toy;1;1;1;2;1,25
2007;box;bird house;3;1;2;3;2,25
2007;box;dog house;1;1;1;1;1
2007;box;burning material;1;2;2;2;1,75
2007;box;garbage can;1;1;1;1;1
2008;box;toss like a ball;1;1;2;1;1,25
2008;box;hat;1;1;1;1;1
2008;box;drum;1;2;2;3;2
2008;box;seat;1;1;1;1;1
2008;box;diorama;2;3;2;3;2,5
2008;box;music amplifier;3;3;2;3;2,75
2008;box;balance beam;2;3;2;2;2,25
2008;box;stepping stool;1;1;1;1;1
2008;box;TV stand;2;1;1;2;1,5
2008;box;cut up and use as a dancefloor;1;2;2;3;2
2010;box;Table;1;1;1;1;1
2010;box;Bed;1;1;1;1;1
2010;box;House;1;1;1;1;1
2010;box;Vehicle;2;1;1;2;1,5
2010;box;Pillow;1;1;2;2;1,5
2010;box;Chair;1;1;1;1;1
2010;box;Stage;2;2;2;3;2,25
2010;box;Step;1;1;1;1;1
2010;box;Arm Rest;2;1;2;3;2
2011;box;hat;1;1;1;1;1
2011;box;instrument;1;1;2;2;1,5
2011;box;weapon;1;1;1;1;1
2011;box;Building Material;1;1;1;2;1,25
2012;box;as a weight;2;1;2;1;1,5
2012;box;shelter;1;1;1;1;1
2012;box;to climb on;1;1;2;1;1,25
2012;box;as a floor rug;2;1;2;2;1,75
2012;box;bulletproof material;2;1;2;2;1,75
2012;box;make a plane out of;1;1;1;3;1,5
2012;box;a ramp to use for tricks/stunts;2;2;2;3;2,25
2012;box;As a mini fridge stand  a ladder  shelter;1;1;2;2;1,5
2012;box;make a car out of;1;1;1;2;1,25
2012;box;to cut and from other objects from;1;1;2;1;1,25
2013;box;flower pot;2;2;2;2;2
2013;box;build a mansion;1;1;2;2;1,5
2013;box;build a raft;2;2;1;3;2
2014;box;table;1;1;1;1;1
2014;box;seat;1;1;1;1;1
2014;box;temporary/disposable plates;3;2;2;2;2,25
2014;box;organizer for computer wires;2;1;1;2;1,5
